Topic,Count,Name,CustomName,Representation,Zephyr,Representative_Docs
207,2092,207_universitaire_university_institutionnelle_université,Univ. Dev. Coop. 2012-13,"['universitaire', 'university', 'institutionnelle', 'université', 'cooperation', 'coopération', 'cui', 'cooperación', 'interuniversitaire', 'universidad']","['\nUniv. Dev. Coop. 2012-13', '', '', '', '', '', '', '', '', '']","['projet de cooperation universitaire - initiative sud 2012 - kenyatta university projet de cooperation universitaire - initiative sud 2012 - kenyatta university ', 'coopération universitaire institutionnelle (vlir-uos) - slu/bsu / filipijnen higher education institutional university cooperation  vlir - slu/bsu / filipijnen - coopération universitaire institutionnelle (vlir-uos) - slu/bsu / filipijnen -  -', 'projet de cooperation universitaire - initiative sud 2012 -  stellenbosch university projet de cooperation universitaire - initiative sud 2012 -  stellenbosch university ']"
208,1570,208_capacity_building_institutional_bldg,Capacity Bldg Proj-Dev Capacity,"['capacity', 'building', 'institutional', 'bldg', 'development', 'output', 'dev', 'irq', 'strengthening', 'amcs']","['\nCapacity Bldg Proj-Dev Capacity', '', '', '', '', '', '', '', '', '']","['nandolo capacity building nandolo capacity building nandolo capacity building', 'capacity bldng - moe capacity building - moe ', 'capacity bldng - moe capacity building ']"
209,1222,209_af_unspecified_african_multi,Af Multi Sector USD ESF,"['af', 'unspecified', 'african', 'multi', 'department', 'state', 'affairs', 'bureau', 'sector', 'ardf']","['\nAf Multi Sector USD ESF', '', '', '', '', '', '', '', '', '']","['u.s. department of state: bureau of african affairs (af) - multi-sector - unspecified: borehole in ogun u.s. department of state: bureau of african affairs (af) - multi-sector - unspecified: borehole in ogun u.s. department of state: bureau of african affairs (af) - multi-sector - unspecified. economic support fund. borehole in ogun', 'u.s. department of state: bureau of african affairs (af) - multi-sector - unspecified: poeman briquettes u.s. department of state: bureau of african affairs (af) - multi-sector - unspecified: poeman briquettes u.s. department of state: bureau of african affairs (af) - multi-sector - unspecified. economic support fund. poeman briquettes', 'u.s. department of state: bureau of african affairs (af) - multi-sector - unspecified: mikhulu ssh u.s. department of state: bureau of african affairs (af) - multi-sector - unspecified: mikhulu ssh u.s. department of state: bureau of african affairs (af) - multi-sector - unspecified. economic support fund. mikhulu ssh']"
210,2532,210_community_communautaire_development_local,Community Dev prog-self help,"['community', 'communautaire', 'development', 'local', 'communities', 'self', 'communautaires', 'integrated', 'développement', 'communal']","['\nCommunity Dev prog-self help', '', '', '', '', '', '', '', '', '']","['community development iha-udp community development ', 'community development ecc hosanna community development ecc hosanna community development ecc hosanna', 'wva-mapela community developme mapela community development ']"
211,1810,211_darfur_sudan_humanitarian_south,Humanitarian Sudan/SSudan crisis,"['darfur', 'sudan', 'humanitarian', 'south', 'emergency', 'soudan', 'affected', 'conflict', 'response', 'darfour']","['\nHumanitarian Sudan/SSudan crisis', '', '', '', '', '', '', '', '', '']","['emergency activities in south sudan in 2016 emergency activities in south sudan in 2016 humanitarian assistance', 'humanitarian aid humanitarian aid icrc assistance and protection activities in sudan and south sudan', 'humanitarian aid in south sudan humanitarian aid in south sudan assistance and protection activities in south sudan']"
212,1389,212_scientific_scientifique_recherche_research,Research institutes - scientific,"['scientific', 'scientifique', 'recherche', 'research', 'institutions', 'scientifiques', 'science', 'spf', 'domaine', 'sciences']","['\nResearch institutes - scientific', '', '', '', '', '', '', '', '', '']","['shorttime/tza/vp research/scientific institutions ', 'apefe research/scientific institutions ', ""foto's t.b.v. jaarverslag 1993 research/scientific institutions ""]"
213,1393,213_green_growth_economy_gggi,Green Growth Strategies,"['green', 'growth', 'economy', 'gggi', 'sustainable', 'verde', 'page', 'vert', 'verte', 'transition']","['\nGreen Growth Strategies', '', '', '', '', '', '', '', '', '']","['mx 1 - state of sonora green growth plan mx 1 - state of sonora green growth plan ', 'green economy: conference on green growth green economy: conference on green growth green economy: conference on green growth', 'in 1 - green growth through indc in 1 - green growth through indc ']"
214,1339,214_evaluation_monitoring_planning_review,Planning-Monit-Evalu,"['evaluation', 'monitoring', 'planning', 'review', 'reviews', 'programme', 'evaluations', 'suivi', 'ir', 'support']","['\nPlanning-Monit-Evalu', '', '', '', '', '', '', '', '', '']","['6.3 planning, monitoring and evaluation 6.3 planning, monitoring and evaluation 6.3 planning, monitoring and evaluation', 'planning, monitoring and evaluation planning, monitoring and evaluation planning, monitoring and evaluation', 'f.a: planning & monitoring & evaluation f.a: planning & monitoring & evaluation programme planning, monitoring and evaluation']"
215,1135,215_arms_weapons_light_salw,Small Arms Light Weapons (SALW) Control,"['arms', 'weapons', 'light', 'salw', 'disarmament', 'small', 'ammunition', 'proliferation', 'armes', 'destruction']","['\nSmall Arms Light Weapons (SALW) Control', '', '', '', '', '', '', '', '', '']","['small arms light weapons small arms light weapons small arms light weapons - small arms and light weapons (salw) [through halo trust]', 'small arms & light weapons con small arms & light weapons con ', 'small arms light weapons bicc small arms light weapons ']"
216,2673,216_scholarships_scholarship_students_doctoral,Scholarships-Students-HigherEd,"['scholarships', 'scholarship', 'students', 'doctoral', 'postgraduate', 'postdoctoral', 'cultivation', 'becas', 'university', 'ayudas']","['\nScholarships-Students-HigherEd', '', '', '', '', '', '', '', '', '']","['scholarship iss scholarships ', 'scholarship scholarships for international students ', 'scholarships scholarships scholarship']"
217,1124,217_doses_covid_19_covax,COVID vaccines donation,"['doses', 'covid', '19', 'covax', 'vaccine', 'vaccines', 'donation', 'astrazeneca', 'vaccins', 'don']","['\nCOVID vaccines donation', '', '', '', '', '', '', '', '', '']","['providing covid-19 vaccines 50000 dose providing covid-19 vaccines 50000 dose providing covid-19 vaccines 50000 dose', 'covid-19 vaccines covid-19 vaccines donation of 1,945,600 covid-19 vaccines type moderna', 'covid-19 vaccines covid-19 vaccines donation of 4,461,600 covid -19 vaccines type johnson and johnson through covax']"
218,1370,218_mediterranean_neighbourhood_european_euro,Mediterranean Coop & Dialogue,"['mediterranean', 'neighbourhood', 'european', 'euro', 'partnership', 'cooperation', 'audiovisual', 'financial', 'lindh', 'anna']","['\nMediterranean Coop & Dialogue', '', '', '', '', '', '', '', '', '']","['envitecc / mediterranean sea programme (medprogramme) envitecc / mediterranean sea programme (medprogramme) ', ' mediterranean colloquio of tapri ', 'mediterranean log mediterranean log revista semestral sobre culturas y sociedades mediterráneas.']"
219,1815,219_admin_education_policy_management,Edu Pol Admin Mgmt,"['admin', 'education', 'policy', 'management', 'éducation', 'politiques', 'administrative', 'pilotage', 'politique', 'éducatives']","['\nEdu Pol Admin Mgmt', '', '', '', '', '', '', '', '', '']","['apefe - oss1 education policy & admin. management ', 'imch education policy & admin. management ', 'education fti joe de stefano education policy & admin. management ']"
220,1307,220_objectifs_209_p209_durable,"Dev Dur 209 Gov, Food, Fragility","['objectifs', '209', 'p209', 'durable', 'développement', 'fspi', 'p185', 'fragilites', 'egalite', 'climat']","['\nDev Dur 209 Gov, Food, Fragility', '', '', '', '', '', '', '', '', '']","['p209 - objectifs de développement durable (p 209) - fragilites - piscca 2/11alinagnon p209 - objectifs de développement durable (p 209) - fragilites - piscca 2/11alinagnon p209 - objectifs de développement durable (p 209) - fragilites - piscca 2/11alinagnon - equiper et former 16 jeunes aux métiers du bâtiment (fabrication de blocs hydraform et ordinaires, montage de maisons et peinture) et les regrouper en coopératives', 'p209 - objectifs de développement durable (p 209) - fragilites - pembe hayatpembe hayat p209 - objectifs de développement durable (p 209) - fragilites - pembe hayatpembe hayat p209 - objectifs de développement durable (p 209) - fragilites - pembe hayatpembe hayat - orgnaisation du festival pink life kuirfest', 'p209 - objectifs de développement durable (p 209) - gastronomie p209 - objectifs de développement durable (p 209) - gastronomie p209 - objectifs de développement durable (p 209) - gastronomie - piscca citoyennetés participatives et patrimoinesmovimiento de integrracion gastronomico alimentario - piscca citoyennetés et patrimoines']"
221,3451,221_road_roads_highway_improvement,"Rural, Trunk Roads Improvement","['road', 'roads', 'highway', 'improvement', 'maintenance', 'km', 'upgrading', 'transport', 'project', 'rural']","['\nRural, Trunk Roads Improvement', '', '', '', '', '', '', '', '', '']","[' rural roads improvement ', 'improvement of the roads network and rural roads development improvement of the roads network and rural roads development ', 'trunk roads improvement project trunk roads improvement project trunk roads improvement project, loan for road transport']"
222,1349,222_trust_fund_donor_bank,"Trust Funds: Multi Donor, World Bank","['trust', 'fund', 'donor', 'bank', 'multi', 'contribution', 'world', 'fiduciaire', 'mdtf', 'codex']","['\nTrust Funds: Multi Donor, World Bank', '', '', '', '', '', '', '', '', '']","['nato trust fund nato trust fund ', 'un-hab ws trust fund           ws trust fund un-hab ws trust fund           ws trust fund ', 'trust fund ehu trust fund ehu ']"
223,1251,223_business_institutions_services_entreprises,Bus. Sup. Servs. Inst.,"['business', 'institutions', 'services', 'entreprises', 'ecip', 'autres', 'support', 'der', 'f3', '97']","['\nBus. Sup. Servs. Inst.', '', '', '', '', '', '', '', '', '']","['stdf business support services & institutions ', 'feasility study for business business support services & institutions ', 'business services business support services & institutions ']"
224,1092,224_fk_norway_exchange_corps,Norway Exchange Peace Corps Personnel,"['fk', 'norway', 'exchange', 'corps', 'norec', 'personnell', 'personnel', 'peace', 'young', 'youth']","['\nNorway Exchange Peace Corps Personnel', '', '', '', '', '', '', '', '', '']","['peace corps, fk norway, personnel exchange peace corps, fk norway, personnel exchange fesibility study', 'peace corps, fk norway, personnel exchange peace corps, fk norway, personnel exchange feasability study', 'peace corps, fk norway, personnel exchange peace corps, fk norway, personnel exchange secretarial capacity norsk helsenettverk for utvikling']"
225,1533,225_electrification_rural_rurale_electricity,Rural Electrification Projects,"['electrification', 'rural', 'rurale', 'electricity', 'distribution', 'transmission', 'grid', 'power', 'renewable', 'energy']","['\nRural Electrification Projects', '', '', '', '', '', '', '', '', '']","[' rural electrification, baluchistan ', ' rural electrification, asesewa &yeji ', 'rural electrification project-v rural electrification project-v energy/rural distribution']"
226,1624,226_higher_enseignement_supérieur_education,Higher Ed: University Learning,"['higher', 'enseignement', 'supérieur', 'education', 'university', 'bourses', 'mec', 'sco', 'universitaire', 'pub']","['\nHigher Ed: University Learning', '', '', '', '', '', '', '', '', '']","['delf et dalf higher education ', 'pdev higher education ', 'universitâ€š tetovo higher education universitâ€š tetovo']"
227,1200,227_mdg_achievement_inequalities_growth,"MDG achievement: incl. Growth, gender, strategies","['mdg', 'achievement', 'inequalities', 'growth', 'mgds', 'area', 'strategies', 'poverty', 'gender', 'outcome']","['\nMDG achievement: incl. Growth, gender, strategies', '', '', '', '', '', '', '', '', '']","['appui au pcged(dap) appui au pcged(dap) focus area: poverty reduction & mdg achievement. result area: promoting inclusive growth, gender equality and mdg achievement. special outcome: mdg-based national development strategies promote growth and employment, and reduce economic, gender and social inequalities', 'atoll development for sustaina atoll development for sustaina focus area: poverty reduction & mdg achievement. result area: promoting inclusive growth, gender equality and mdg achievement. special outcome: mdg-based national development strategies promote growth and employment, and reduce economic, gender and social inequalities', 'assistance preparatoire progra assistance preparatoire progra focus area: poverty reduction & mdg achievement. result area: promoting inclusive growth, gender equality and mdg achievement. special outcome: mdg-based national development strategies promote growth and employment, and reduce economic, gender and social inequalities']"
228,1083,228_elderly_older_home_care,Elderly Home Construction,"['elderly', 'older', 'home', 'care', 'mayores', 'people', 'ancianos', 'ageing', 'old', 'elder']","['\nElderly Home Construction', '', '', '', '', '', '', '', '', '']","['construction of a home for the elderly and destitute women in thrikkakara construction of a home for the elderly and destitute women in thrikkakara construction of a home for the elderly and destitute women in thrikkakara', 'construction retirement home for elderly construction retirement home for elderly construction retirement home for elderly', 'building a home for the elderly building a home for the elderly building a home for the elderly']"
229,2784,229_mujeres_women_las_derechos,"Women's rights, Indigenous organizations, gender equity (Latin America)","['mujeres', 'women', 'las', 'derechos', 'género', 'el', 'violencia', 'sus', 'para', 'los']","[""\nWomen's rights and gender equity in Colombia, Guatemala, El Salvador, Indigenous organizations in Nicaragua"", '', '', '', '', '', '', '', '', '']","['promoting rights, participation and leadership of women of jiquilisco (el salvador). promoting rights, participation and leadership of women of jiquilisco (el salvador). el proyecto tiene por objetivo mejorar la participación ciudadana y las condiciones para el jeercicio y avance de los derechos de las mujeres en el municipio de jiquilisco (dpto. usulután). para ello se trabajará con 8 comunidades del municipio y distintas expresiones organizativas dle mismo: asociación de mujeres, comités de mujeres, secretaría de la mujer, concertación de mujeres y la red de jóvenes. para lograr el objetivo se desarrollará una estrategia dirigida a: - fortalecer las capacidades y mecanismos de participación de las mujeres. - fortalecer el movimiento de mujeres a través de la mejora de sus conocimientos y capacidades y el fortalecimiento de los liderazgos. - sensibilización de la población sobre los derechos de las mujeres. - incrementar el conocimiento de las leyes que favorecen los derechos de las mujeres.', 'rural women organized and empowered to exercise their rights in 3 municipalities of the valles cruceã±os bolivia. phase ii rural women organized and empowered to exercise their rights in 3 municipalities of the valles cruceã±os bolivia. phase ii título completo del proyecto: mujeres campesinas organizadas y empoderadas para el ejercicio de sus derechos en 3 municipios de los valles cruceños bolivia. fase ii :: impulsar el empoderamiento de los distintos grupos de mujeres campesinas, que ya vienen participando en programas de trabajo anteriores, en una estrategia de intervención de desarrollo local.se trabajará en 4 áreas: en cuatro áreas:1.organizaciones de mujeres fortalecen sus capacidades de gestión interna e incidencia política en procesos de desarrollo integral con enfoque de género. capacidades2.organizaciones de mujeres inciden en políticas públicas favorables al ejercicio de sus derechos económicos, sociales y ambientales en los municipios de comarapa, pampagrande y vallegrande. incidencia.3.mujeres campesinas organizadas fortalecen sus capacidades para la gestión integral de sus unidades productivas y la producción local sostenible. sostenibilidad.4.organizaciones de mujeres mejoran su capacidad de acción colectiva en articulación con otras organizaciones de mujeres de bolivia. sororidad', 'citizenship participation of women and associations from chayanta province, potosi, at the new pluri-national state of bolivia, with gender equality. citizenship participation of women and associations from chayanta province, potosi, at the new pluri-national state of bolivia, with gender equality. participación ciudadana de las mujeres y organizaciones de la provincia chayanta, potosí en el nuevo estado plurinacional de bolivia, con equidad de género :: los municipios de ravelo, pocoata, colquechaca y ocurí del departamento de potosí con más de 95.000 habitantes se constituye en una de las provincias más empobrecida que presentan los idh más bajos del país: 308 en pocoata, 318 en ocurí, 319 en ravelo y 326 en colquechaca del mapa de pobreza sobre un total de 327 municipios. por otra parte, hay una falta de reconocimiento a la labor que realizan las mujeres en la economía de los cuidados al desarrollarse en la esfera privada y tampoco se reconoce el importante papel que ejercen en la economía productiva. así mismo, se cuenta con débiles estructuras organizativas de las mujeres capaces de incidir ante las autoridades locales.el instituto politécnico tomás katari (iptk), lleva 38 años trabajando en la región habiendo realizado numerosos trabajos de desarrollo rural y de formación/capacitación. el proyecto tiene como objetivo ?fortalecer las capacidades organizaciones, políticas y económicas de las mujeres campesinas y organizaciones sociales de la provincia chayanta, para que participen de manera proactiva, propositiva y representativa en la nueva normativa del estado plurinacional de bolivia, y en la exigibilidad de sus derechos desde un enfoque de género e interculturalidad?. con el proyecto se va contribuir a combatir la pobreza extrema y desigualdad social de las comunidades ubicadas en los municipios de la provincia chayanta, para esto será necesaria:-la formación/capacitación de mujeres lideresas, entendida como un proceso de interaprendizaje se plantea por la necesidad de que grupos de mujeres campesinas cuenten con conocimientos sobre la realidad de país, de sus municipios y empoderados participen en la toma de decisiones de los ámbitos sociopolítico, económico y cultural de sus comunidades, de sus municipios y de otros espacios, en el marco de la defensa de sus derechos y de la nueva normativa nacional, -el fortalecimiento a las organizaciones de mujeres, para que a través de la incidencia logren las mujeres en pleno derecho, que participen y sean actoras activas dentro sus organizaciones, de sus comunidades y del municipio, - el fortalecimiento de grupos organizados de mujeres para que realicen vigilancia y control social a los procesos de cambio,- el fortalecimiento de centros de mujeres en capacitación técnica artesanal, tejidos y bordados, corte y confección, panadería y repostería, para que se constituyan en herramientas que les permitan la inclusión en la vida económica, contribuyendo al desarrollo local de sus comunidades y municipios, dada la extrema pobreza por la que atraviesan en la actualidad, - comunicación y difusión, que a través de una estrategia integrada se busque formar y crear opinión pública en la ciudadanía en general para la inclusión y la equidad de género.a la conclusión del proyecto, la población sujeto cont']"
230,1526,230_ocean_freight_title_usaid,"USaid II Food Aid Ocean Freight (wheat flour, sorghum)","['ocean', 'freight', 'title', 'usaid', 'food', 'aid', 'ii', 'prepositioning', 'metric', 'tons']","['\nUSaid II Food Aid Ocean Freight (wheat flour, sorghum)', '', '', '', '', '', '', '', '', '']","['ocean freight of usaid title ii food aid for other emergency ocean freight of usaid title ii food aid for other emergency usaid title ii food aid for other emergency through world food program. ocean freight of wheat flour bread / metric tons: 3,490.', 'ocean freight of usaid title ii food aid for other emergency ocean freight of usaid title ii food aid for other emergency usaid title ii food aid for other emergency through world food program. ocean freight of wheat flour / metric tons: 790.', 'ocean freight of usaid title ii food aid for other emergency ocean freight of usaid title ii food aid for other emergency usaid title ii food aid for other emergency through world food program. ocean freight of sorghum, bagged / metric tons: 8,670.']"
231,1384,231_venezuela_venezuelan_migrants_colombia,"Colombian refugees, migrants Crisis Venezuela protection","['venezuela', 'venezuelan', 'migrants', 'colombia', 'colombian', 'refugees', 'ecuador', 'protection', 'crisis', 'venezuelans']","['\nColombian refugees, migrants Crisis Venezuela protection', '', '', '', '', '', '', '', '', '']","['protection and humanitarian assistance to colombian pnpis in venezuela protection and humanitarian assistance to colombian pnpis in venezuela united states population migration and refugee assistance, appropriation 1143.  protection and assistance needs of refugees, migrants and conflict vicitms worldwide. [norwegian refugee council]', 'psychosocial assistance and protection program colombian refugees in ecuador and venezuela psychosocial assistance and protection program colombian refugees in ecuador and venezuela united states population migration and refugee assistance, appropriation 1143.  protection and assistance needs of refugees, migrants and conflict vicitms worldwide. [hebrew immigrant aid society]', 'psychosocial assistance and protection for colombian refugees in ecuador and venezuela. psychosocial assistance and protection for colombian refugees in ecuador and venezuela. united states population migration and refugee assistance, appropriation 1143. protection and assistance needs of refugees, migrants and conflict vicitms worldwide. [hebrew immigrant aid society]']"
232,1215,232_human_resource_resources_humano,Human Resources Devt & Strategy,"['human', 'resource', 'resources', 'humano', 'hicd', 'development', 'report', 'capacity', 'humaines', 'desarrollo']","['\nHuman Resources Devt & Strategy', '', '', '', '', '', '', '', '', '']","['human resources development programme phase 1 human resources development programme the overall objective of the sector policy support programme (spsp) in therefore to promote the development of pngâ¿s human resource development in the education sector, with the programme purpose (specific objective) being twofold: ube plan supported, and', '6950121  human resources development human resources dvpt for individuals ', 'technical assistance to articulate a human resource development strategy for barbados technical assistance to articulate a human resource development strategy for barbados the project aims to create a human resources development plan for barbados which defines critical strategic interventions, outputs, outcomes and indicators for skills/human resources development over the period 2009-2013.']"
233,1064,233_cards_2005_017_2006,Cards '05-'17-'06-AP',"['cards', '2005', '017', '2006', '2004', 'ear', 'ap', '2003', 'yugoslav', 'tempus']","[""\nCards '05-'17-'06-AP'"", '', '', '', '', '', '', '', '', '']","['cards/2003/ 066-174-ballshi refinery 2 cards ballshi refinery ', 'cards/2003/ 077-785-cards/ comptabilisation des intç?rets bancaires gç?nç?rç?s sur l cards/2003/ 077-785-cards/ comptabilisation des intç?rets bancaires gç?n cards/2003/ 077-785-cards/ comptabilisation des intç?rets bancaires gç?nç?rç?s sur l', 'cards lunch cards lunch ']"
234,1376,234_australian_australia_ancp_starting,"Aus NGO Coop Prog '13-17, 627.4m yrs'","['australian', 'australia', 'ancp', 'starting', 'million', 'over', 'total', 'administered', 'accredited', 'program']","[""\nAus NGO Coop Prog '13-17, 627.4m yrs'"", '', '', '', '', '', '', '', '', '']","['baptist world aid australia baptist world aid australia the australia - non-government organisations (ngo) cooperation program (ancp) subsidises the poverty reduction activities of accredited australian ngos.  australian ngos supported through ancp must demonstrate a strong level of australian community support, and have been through a rigorous accreditation process.  the total value of this multi-country program is $627.4 million over 4 years, starting 2013-14.', 'cbm australia cbm australia the australia - non-government organisations (ngo) cooperation program (ancp) subsidises the poverty reduction activities of accredited australian ngos.  australian ngos supported through ancp must demonstrate a strong level of australian community support, and have been through a rigorous accreditation process.  the total value of this multi-country program is $627.4 million over 4 years, starting 2013-14.', 'childfund australia childfund australia the australia - non-government organisations (ngo) cooperation program (ancp) subsidises the poverty reduction activities of accredited australian ngos.  australian ngos supported through ancp must demonstrate a strong level of australian community support, and have been through a rigorous accreditation process.  the total value of this multi-country program is $627.4 million over 4 years, starting 2013-14.']"
235,1054,235_tiger_rhino_rhinoceros_conservation,Conservation Park Wildlife,"['tiger', 'rhino', 'rhinoceros', 'conservation', 'tigers', 'park', 'wildlife', 'rhinos', 'black', 'poaching']","['\nConservation Park Wildlife', '', '', '', '', '', '', '', '', '']","['rhinoceros & tiger conservation-species conservation grant rhinoceros & tiger conservation-species conservation grant support for black rhino conservation operations in north luangwa national park, zambia', 'tiger conservation in manas national park tiger conservation in manas national park multinational species conservation fund, u.s. department of interior, u.s. fish and wildlife service.', 'rhinoceros & tiger conservation rhinoceros & tiger conservation protection and conservation of sumatran tiger in kerinci seblat national park']"
236,1250,236_cuba_cuban_cubana_habana,"Cuba Dev Proj (training, univ, dev)","['cuba', 'cuban', 'cubana', 'habana', 'cubano', 'cubain', 'cubanos', 'con', 'scac', 'bourse']","['\nCuba Dev Proj (training, univ, dev)', '', '', '', '', '', '', '', '', '']","[""iidh cuba iidh cuba support to iidh's special programme for cuba"", 'iad cuba iad cuba ', 'ferc n°1 ferc n°1 ferc cuba-ferc n°1']"
237,1019,237_sugar_sucre_cane_accompanying,"Sugar Factory Rehab (2200t, 6094t)","['sugar', 'sucre', 'cane', 'accompanying', 'protocol', 'sugarcane', 'measures', 'industry', 'outgrowers', 'canne']","['\nSugar Factory Rehab (2200t, 6094t)', '', '', '', '', '', '', '', '', '']","[' sugar (6094 t) ', ' sugar refinery expan ', ' sugar (2200 t) ']"
238,1361,238_coordination_unct_ddc_office,Coordination Management DCAF,"['coordination', 'unct', 'ddc', 'office', 'bureau', 'coordinación', 'management', 'programme', 'actions', 'suivi']","['\nCoordination Management DCAF', '', '', '', '', '', '', '', '', '']","['coordination alop coordination alop ', 'coordination ptme/pecp coordination ptme/pecp ', 'cout de coordination survie cout de coordination survie cout de coordination survie']"
239,1427,239_electoral_elections_election_eisa,Electoral Processes UNDP,"['electoral', 'elections', 'election', 'eisa', 'élections', 'électoral', 'voter', 'processus', 'cycle', 'process']","['\nElectoral Processes UNDP', '', '', '', '', '', '', '', '', '']","[""undp- strengthening electoral processes in uganda (sepu) undp- strengthening electoral processes in uganda (sepu) the united nations development programme (undp), together with other un agencies, i.e. un women, ohchr and unesco, have developed an electoral project to support the 2020/21 electoral cycle in uganda.  the project named strengthening electoral processes in uganda (sepu) followed the recommendation of the un electoral needs assessment mission in march 2019 for the un to support the 2020/21 elections in uganda and for undp to lead in formulating an integrated electoral assistance project.  the project seeks to respond to the various challenges earlier on identified by  the eu election observers mission in their 2016 report,  the judiciary (supreme court ruling on 2016 elections), and the national electoral commission's own identified challenges as having adversely affected the quality and credibility of past elections in uganda.the project is based on the intervention logic that inclusive, participatory, transparent elections are critical to sustain development gains and consolidate peace as the foundations on which development thrives, also, technically capable, independent and trusted governance institutions are essential for the conduct of credible, inclusive and peaceful elections, furthermore, elections is a conflict trigger which potentially results in violence and loss of lives, peacebuilding and conflict prevention approaches are critical to ensure peaceful and violence-free elections. undp submitted a project proposal to the embassy of sweden and to other development partners for the support of strengthening electoral processes in uganda (sepu) project. the overall goal of the project is to improve the capacity and credibility of key institutions with an electoral mandate to promote credible elections, in 2020/21 and beyond, that significantly contribute to uganda's vision of becoming a peaceful, secure and prosperous middle-income country by 2040. the specific objectives of the project are to: 1) strengthen transparency and inclusion in electoral process, 2) enhance institutional capacity for the electoral commission (ec) and other electoral stakeholders, and3) improve peace building mechanisms.the project is implemented by undp in partnership with three other un agencies, i.e. un women, ohchr and unesco based on their comparative advantage and the need for complementarity of efforts: un women will lead on activities aimed at promoting inclusive participation in elections, especially for women, youth and people living with disabilities , ohchr will lead on human rights mainstreaming across all project activities and also human rights monitoring in the country during the entire electoral cycle, while unesco will support media capacity building and training including media training on conflict and gender sensitivity.the project targets and collaborates with national institutions to improve their capacity to deliver credible elections. these include, electoral commission of uganda (ec), uganda police force, (upf), judiciary/human rights comm"", 'support to the timorese electoral cycle elections ', 'ghana- support to the electoral commission for the 2012 presidential and parliamentary elections. ghana- support to the electoral commission for the 2012 presidential and parliamentary elections. to support capacity development of electoral commission in the elections process and the electoral cycle. this specific objective expected is to further increase national capacity to address national electoral challenges as well as increase the integrity']"
240,999,240_frontline_diplomacy_flows_diplomatic,Aid-related frontline dipl. For flow enablement,"['frontline', 'diplomacy', 'flows', 'diplomatic', 'related', 'aid', 'activity', 'enabling', 'prosperity', 'stresses']","['\nAid-related frontline dipl. For flow enablement', '', '', '', '', '', '', '', '', '']","['aid-related frontline diplomacy in support of aid flows tovenezuela aid-related frontline diplomacy in support of aid flows tovenezuela aid-related frontline diplomacy in support of aid flows tovenezuela', 'aid-related frontline diplomacy in support of aid flows tolebanon aid-related frontline diplomacy in support of aid flows tolebanon aid-related frontline diplomacy in support of aid flows tolebanon', 'aid-related frontline diplomacy in support of aid flows tomalawi aid-related frontline diplomacy in support of aid flows tomalawi aid-related frontline diplomacy in support of aid flows tomalawi']"
